Id,Brand,Model,Price,Selling_platform,Rating,Refresh_rate,Screen_size,Ram,Storage,Processor,Camera_setup,imgURL
1,OnePlus,Narzo Edge 16,1286.64,Best Buy,3.5,165,7.2,16,128,Snapdragon 8+ Gen 1,12MP + 16MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
2,Sony,Pixel Max 24,728.52,eBay,4.6,90,6.1,4,64,Dimensity 920,48MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
3,Samsung,Reno Plus 23,1086.68,Official Store,3.4,60,6.2,12,64,Exynos 2200,200MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
4,Apple,Redmi Note Mini 16,1158.78,Official Store,3.5,120,7.1,6,128,A16 Bionic,50MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
5,Vivo,P Series Edge 13,1656.05,Reliance Digital,4.9,165,6.1,8,512,Helio G99,64MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
6,Vivo,P Series 5G 19,390.46,Best Buy,4.4,165,6.5,12,512,Dimensity 920,48MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
7,Sony,Galaxy S Ultra 22,1172.46,Best Buy,3.2,120,6.5,8,256,Dimensity 920,12MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
8,Apple,Reno Pro 20,1770.77,Amazon,3.3,165,5.5,8,1024,A16 Bionic,12MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
9,Nokia,Xperia Ultra 19,492.29,Amazon,3.7,90,7.4,4,256,Helio G99,12MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
10,Realme,P Series Mini 19,730.09,eBay,4.2,144,6.1,16,128,Dimensity 920,50MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
11,Vivo,Redmi Note Max 16,268.58,Flipkart,4.3,144,7.2,8,512,Helio G99,108MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
12,Nokia,V Series Lite 20,391.77,Walmart,4.1,165,5.5,6,256,Dimensity 920,48MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
13,Xiaomi,Pixel Ultra 10,748.54,Flipkart,4.3,144,6.7,8,256,Dimensity 1080,64MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
14,Google,Mate Pro 19,1640.5,AliExpress,4.7,120,7.0,12,1024,Tensor G1,48MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
15,Apple,Redmi Note 5G 11,1913.91,Official Store,3.8,144,6.8,12,512,A15 Bionic,200MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
16,Google,Pixel 5G 14,886.08,AliExpress,3.0,60,5.4,12,256,Tensor G1,64MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
17,Motorola,Redmi Note Lite 14,581.44,Flipkart,3.8,60,5.8,4,256,Helio G99,50MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
18,Sony,Pixel Plus 18,1414.63,Official Store,3.1,144,5.7,6,64,Dimensity 920,200MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
19,Xiaomi,iPhone Pro 23,1101.51,Reliance Digital,4.9,60,5.1,12,64,Snapdragon 7 Gen 1,48MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
20,Realme,Pixel Ultra 18,185.01,Reliance Digital,4.1,90,5.6,4,512,Dimensity 920,48MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
21,Huawei,Mate 5G 11,797.35,Best Buy,4.4,120,5.2,16,64,Dimensity 920,108MP + 8MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
22,Samsung,Galaxy S Mini 11,558.68,eBay,3.2,144,6.7,6,512,Snapdragon 8 Gen 2,200MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
23,Xiaomi,Moto G SE 12,778.17,Official Store,4.7,165,6.5,16,64,Snapdragon 7 Gen 1,200MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
24,Nokia,Reno Ultra 16,1825.52,Best Buy,4.5,165,5.7,16,256,Dimensity 920,200MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70
25,OnePlus,V Series SE 16,1653.37,eBay,3.1,165,5.3,4,64,Dimensity 9000,48MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/a/x/-original-imaghmtch6qfmfxg.jpeg?q=70
26,Vivo,Mate Plus 15,487.23,Flipkart,4.1,120,6.9,12,128,Dimensity 920,64MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
27,Google,Narzo Edge 12,317.76,Walmart,3.7,165,5.9,12,64,Tensor G1,108MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70
28,Sony,Narzo SE 13,927.02,AliExpress,3.4,144,6.8,16,64,Helio G99,48MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
29,Apple,Redmi Note SE 10,654.33,AliExpress,4.6,90,5.9,16,256,A15 Bionic,50MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
30,Xiaomi,P Series Mini 21,1314.08,AliExpress,4.0,120,5.0,16,128,Dimensity 1080,108MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/y/g/-original-imagnfzybft7wzmp.jpeg?q=70
31,Sony,Reno Pro 25,1083.16,Best Buy,3.6,144,6.4,8,128,Helio G99,50MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
32,Samsung,V Series Max 20,416.02,eBay,3.6,90,7.4,4,1024,Snapdragon 8 Gen 2,64MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/o/v/-original-imagp27avqpgejaf.jpeg?q=70
33,Xiaomi,Pixel Mini 15,387.24,Flipkart,3.3,60,6.0,6,128,Snapdragon 7 Gen 1,200MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
34,Vivo,Redmi Note Mini 21,1920.96,Amazon,3.6,120,5.3,6,1024,Helio G99,48MP + 50MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
35,Apple,Narzo Lite 11,478.34,Official Store,3.7,90,6.4,6,512,A15 Bionic,200MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
36,Nokia,Nord Ultra 12,1635.89,Walmart,4.1,144,5.7,4,64,Helio G99,48MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/s/x/-original-imagzjhwaaewgj8r.jpeg?q=70
37,Sony,Redmi Note Ultra 10,1228.51,Walmart,3.3,165,6.8,16,64,Helio G99,12MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
38,Apple,Pixel Turbo 24,1133.07,Walmart,3.0,90,6.9,8,128,A16 Bionic,48MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/h/z/11-prime-mzb0cerin-redmi-original-imagzqvrgdz98jch.jpeg?q=70
39,Motorola,Mate SE 14,1044.34,AliExpress,3.3,90,5.6,4,128,Dimensity 920,200MP + 50MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/u/n/-original-imagzjhwtfthcmzz.jpeg?q=70
40,Sony,Moto G Mini 24,1082.71,Reliance Digital,4.2,90,7.2,16,1024,Dimensity 920,64MP + 16MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/m/3/11-prime-mzb0ceoin-redmi-original-imagzqvrz4mvf6tx.jpeg?q=70
41,Xiaomi,Pixel Max 23,1493.94,Best Buy,4.1,60,5.2,12,128,Dimensity 1080,12MP + 8MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/v/0/c51-mzb0dxkin-poco-original-imagzdpycgrcdc8z.jpeg?q=70
42,Oppo,Xperia Lite 18,374.88,eBay,3.6,60,7.0,16,256,Dimensity 920,200MP + 12MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70
43,Huawei,V Series Pro 23,1167.08,eBay,3.2,60,6.2,8,256,Dimensity 920,108MP + 16MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70
44,Vivo,iPhone Mini 25,1796.07,eBay,4.6,165,6.1,4,64,Dimensity 920,200MP + 12MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70
45,Samsung,Xperia Edge 17,173.42,Walmart,3.3,144,7.2,6,64,Snapdragon 8 Gen 2,200MP + 12MP + 2MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70
46,Sony,Xperia Max 25,1202.67,eBay,4.8,120,6.0,12,256,Dimensity 920,50MP + 8MP + 5MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/l/x/-original-imaghmtcmxwgypsk.jpeg?q=70
47,OnePlus,Pixel Lite 14,1313.92,AliExpress,4.8,120,6.3,6,1024,Dimensity 9000,12MP + 50MP + 8MP,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/9/g/-original-imagnfzyhh8gz8sd.jpeg?q=70
